username,comment,comment_cleansing
@abrarekawijayaabrarekawija3801,"['baju', 'koruptor', 'bagus', 'goobllook', 'suruh', 'pakai', 'goni', 'pakai', 'boorgol', 'pakai', 'pasung', 'gablok', 'bodoh', 'curi', 'baiikk', 'curi', 'sepeda', 'motor', 'digebukkin', 'bukti', 'serahin', 'masyarakat', 'picis', 'pakai', 'hukum', 'zaman']",baju koruptor bagus goobllook suruh pakai goni pakai boorgol pakai pasung gablok bodoh curi baiikk curi sepeda motor digebukkin bukti serahin masyarakat picis pakai hukum zaman
@HalimNasution-c9i,"['oh', 'dasar', 'maling', 'rakyat', 'indonesia', 'miskin', 'gaya', 'elit', 'uang', 'koropsi']",oh dasar maling rakyat indonesia miskin gaya elit uang koropsi
@nursidik5754,"['hukum', 'mati', 'koruptor', 'enggak', 'koruptor', 'indonesia']",hukum mati koruptor enggak koruptor indonesia
@duan7843,"['hukum', 'mati', 'korupsi', 'rajalela']",hukum mati korupsi rajalela
@Saika5140,"['terus', 'masak']",terus masak
@duomastergamer3632,"['bro', 'terjun', 'dasar', 'jurang']",bro terjun dasar jurang
@novialwan8108,"['sejahtera', 'aman', 'kalo', 'buat', 'jahat', 'duit']",sejahtera aman kalo buat jahat duit
@MeRealDreamer,"['presiden', 'prabowo', 'bocor', 'bocor', 'satu', 'bocor']",presiden prabowo bocor bocor satu bocor
@antonsarwono4035,"['musim', 'koruptor', 'tangkap', 'moga', 'enggak', 'musim']",musim koruptor tangkap moga enggak musim
@adibaadiba6931,"['inil', 'h', 'sebab', 'raky', 't', 'sengs', 'ra']",inil h sebab raky t sengs ra
@raendraviegantara5251,"['omong', 'kosong']",omong kosong
@Atya1717,"['duga', 'ku', 'bukti', 'tubuh', 'pertamina', 'bumn', 'korupsi', 'besar', 'besar', 'bukti', 'komentar', 'bank', 'indonesia', 'korupsi', 'b', 'sar', 'besar', 'bukti', 'korupsi', 'besar', 'besar', 'tri']",duga ku bukti tubuh pertamina bumn korupsi besar besar bukti komentar bank indonesia korupsi b sar besar bukti korupsi besar besar tri
